time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
4.264757643708080e-008	7.428278e-006	2.729558e-006	-1.624928e-007	8.235346e-009	9.189042e-008
4.269029072279513e-008	7.414469e-006	2.716465e-006	-1.651174e-007	8.160231e-009	9.129373e-008
4.273300500850947e-008	7.400794e-006	2.703465e-006	-1.677443e-007	8.085677e-009	9.070112e-008
4.277571929422380e-008	7.387254e-006	2.690558e-006	-1.703736e-007	8.011684e-009	9.011260e-008
4.281843357993814e-008	7.373849e-006	2.677743e-006	-1.730053e-007	7.938253e-009	8.952816e-008
4.281943357993814e-008	7.373536e-006	2.677444e-006	-1.730669e-007	7.936540e-009	8.951452e-008
4.311943357993848e-008	7.281811e-006	2.589918e-006	-1.916041e-007	7.436236e-009	8.551942e-008
4.316214786565281e-008	7.269057e-006	2.577797e-006	-1.942504e-007	7.367159e-009	8.496593e-008
4.320486215136715e-008	7.256353e-006	2.565753e-006	-1.968979e-007	7.298598e-009	8.441611e-008
4.324757643708148e-008	7.243701e-006	2.553786e-006	-1.995467e-007	7.230553e-009	8.386996e-008
4.329029072279581e-008	7.231100e-006	2.541897e-006	-2.021966e-007	7.163022e-009	8.332748e-008
4.333300500851015e-008	7.218551e-006	2.530085e-006	-2.048478e-007	7.096006e-009	8.278866e-008
4.337571929422448e-008	7.206052e-006	2.518351e-006	-2.075002e-007	7.029505e-009	8.225351e-008
4.341843357993882e-008	7.193604e-006	2.506694e-006	-2.101538e-007	6.963520e-009	8.172204e-008
4.341943357993882e-008	7.193312e-006	2.506422e-006	-2.102159e-007	6.961981e-009	8.170964e-008
4.371943357993916e-008	7.106878e-006	2.426550e-006	-2.288730e-007	6.512477e-009	7.807668e-008
4.374314786565347e-008	7.100108e-006	2.420382e-006	-2.303486e-007	6.477964e-009	7.779680e-008
4.376686215136779e-008	7.093349e-006	2.414233e-006	-2.318245e-007	6.443595e-009	7.751798e-008
4.379057643708210e-008	7.086602e-006	2.408103e-006	-2.333006e-007	6.409371e-009	7.724020e-008
4.381429072279641e-008	7.079867e-006	2.401992e-006	-2.347769e-007	6.375290e-009	7.696347e-008
4.383800500851072e-008	7.073143e-006	2.395900e-006	-2.362535e-007	6.341355e-009	7.668779e-008
4.386171929422503e-008	7.066431e-006	2.389826e-006	-2.377304e-007	6.307563e-009	7.641316e-008
4.388543357993935e-008	7.059730e-006	2.383772e-006	-2.392075e-007	6.273916e-009	7.613959e-008
4.390443357993937e-008	7.054402e-006	2.378923e-006	-2.403947e-007	6.247061e-009	7.592124e-008
4.392343357993939e-008	7.049099e-006	2.374082e-006	-2.415836e-007	6.220294e-009	7.570358e-008
4.394243357993941e-008	7.043821e-006	2.369248e-006	-2.427742e-007	6.193616e-009	7.548663e-008
4.396143357993943e-008	7.038567e-006	2.364422e-006	-2.439666e-007	6.167028e-009	7.527038e-008
4.398043357993945e-008	7.033337e-006	2.359604e-006	-2.451609e-007	6.140528e-009	7.505482e-008
4.399943357993948e-008	7.028132e-006	2.354793e-006	-2.463568e-007	6.114118e-009	7.483996e-008
4.401843357993950e-008	7.022952e-006	2.349990e-006	-2.475546e-007	6.087796e-009	7.462580e-008
4.401943357993950e-008	7.022680e-006	2.349738e-006	-2.476176e-007	6.086414e-009	7.461455e-008
4.406214786565383e-008	7.011078e-006	2.338993e-006	-2.503134e-007	6.027574e-009	7.413553e-008
4.410486215136817e-008	6.999459e-006	2.328325e-006	-2.530078e-007	5.969174e-009	7.365954e-008
4.414757643708250e-008	6.987824e-006	2.317733e-006	-2.557006e-007	5.911214e-009	7.318659e-008
4.419029072279683e-008	6.976171e-006	2.307216e-006	-2.583920e-007	5.853693e-009	7.271668e-008
4.423300500851117e-008	6.964502e-006	2.296775e-006	-2.610819e-007	5.796612e-009	7.224981e-008
4.427571929422550e-008	6.952815e-006	2.286410e-006	-2.637704e-007	5.739971e-009	7.178597e-008
4.431843357993984e-008	6.941112e-006	2.276120e-006	-2.664573e-007	5.683770e-009	7.132516e-008
4.431943357993984e-008	6.940838e-006	2.275880e-006	-2.665202e-007	5.682459e-009	7.131441e-008
4.461943357994018e-008	6.858594e-006	2.205247e-006	-2.853572e-007	5.299809e-009	6.816343e-008
4.463786215136877e-008	6.837755e-006	2.205703e-006	-2.865120e-007	5.277385e-009	6.793240e-008
4.465629072279736e-008	6.831890e-006	2.201594e-006	-2.876667e-007	5.254704e-009	6.774230e-008
4.467471929422596e-008	6.841000e-006	2.192920e-006	-2.888213e-007	5.231765e-009	6.759313e-008
4.469314786565455e-008	6.865084e-006	2.179682e-006	-2.899757e-007	5.208568e-009	6.748491e-008
4.471157643708314e-008	6.904143e-006	2.161880e-006	-2.911299e-007	5.185114e-009	6.741761e-008
4.473000500851173e-008	6.958176e-006	2.139513e-006	-2.922840e-007	5.161401e-009	6.739126e-008
4.474843357994033e-008	7.027184e-006	2.112581e-006	-2.934379e-007	5.137431e-009	6.740584e-008
4.476671929422606e-008	7.157177e-006	2.067762e-006	-2.945840e-007	5.111840e-009	6.758580e-008
4.478500500851179e-008	7.301269e-006	2.020976e-006	-2.957320e-007	5.084680e-009	6.778925e-008
4.480329072279753e-008	7.459461e-006	1.972222e-006	-2.968818e-007	5.055951e-009	6.801619e-008
4.482157643708327e-008	7.631754e-006	1.921500e-006	-2.980335e-007	5.025654e-009	6.826661e-008
4.483986215136900e-008	7.818146e-006	1.868810e-006	-2.991870e-007	4.993788e-009	6.854052e-008
4.485814786565474e-008	8.018639e-006	1.814153e-006	-3.003424e-007	4.960353e-009	6.883791e-008
