time	I(L21)	I(L22)	I(R2)	I(R10)	I(R30)
8.026551613839960e-009	6.503551e-011	5.814983e-011	2.127777e-008	2.026049e-008	5.674346e-013
8.027551613839959e-009	6.564908e-011	5.869914e-011	2.141595e-008	2.039390e-008	5.726483e-013
8.027961130867193e-009	6.590122e-011	5.892492e-011	2.147252e-008	2.044852e-008	5.747911e-013
8.027996430547019e-009	6.592299e-011	5.894442e-011	2.147739e-008	2.045323e-008	5.749763e-013
8.028031730226843e-009	6.594477e-011	5.896393e-011	2.148227e-008	2.045794e-008	5.751616e-013
8.028067029906669e-009	6.596656e-011	5.898344e-011	2.148715e-008	2.046265e-008	5.753469e-013
8.028102329586496e-009	6.598835e-011	5.900296e-011	2.149202e-008	2.046736e-008	5.755322e-013
8.028137629266322e-009	6.601015e-011	5.902248e-011	2.149690e-008	2.047207e-008	5.757175e-013
8.028172928946146e-009	6.603195e-011	5.904202e-011	2.150177e-008	2.047677e-008	5.759028e-013
8.028208228625973e-009	6.605377e-011	5.906155e-011	2.150665e-008	2.048148e-008	5.760881e-013
8.028215051389947e-009	6.605799e-011	5.906533e-011	2.150759e-008	2.048239e-008	5.761234e-013
8.030976292198749e-009	6.777793e-011	6.060676e-011	2.188874e-008	2.085066e-008	5.907537e-013
8.033737533007551e-009	6.952219e-011	6.217195e-011	2.226935e-008	2.121867e-008	6.056076e-013
8.036498773816352e-009	7.129077e-011	6.376089e-011	2.264941e-008	2.158642e-008	6.206851e-013
8.039260014625154e-009	7.308366e-011	6.537359e-011	2.302893e-008	2.195392e-008	6.359862e-013
8.042021255433956e-009	7.490088e-011	6.701004e-011	2.340790e-008	2.232117e-008	6.515108e-013
8.044782496242758e-009	7.674241e-011	6.867025e-011	2.378633e-008	2.268816e-008	6.672590e-013
8.047543737051559e-009	7.860827e-011	7.035422e-011	2.416421e-008	2.305489e-008	6.832308e-013
8.052686594194413e-009	8.214905e-011	7.355477e-011	2.486651e-008	2.373723e-008	7.135819e-013
8.057829451337268e-009	8.576522e-011	7.683133e-011	2.556621e-008	2.441798e-008	7.446506e-013
8.062972308480122e-009	8.945677e-011	8.018390e-011	2.626329e-008	2.509713e-008	7.764369e-013
8.068115165622978e-009	9.322371e-011	8.361247e-011	2.695776e-008	2.577469e-008	8.089409e-013
8.073258022765832e-009	9.706604e-011	8.711705e-011	2.764963e-008	2.645066e-008	8.421625e-013
8.078400879908686e-009	1.009838e-010	9.069763e-011	2.833888e-008	2.712503e-008	8.761017e-013
8.083543737051541e-009	1.049769e-010	9.435423e-011	2.902552e-008	2.779781e-008	9.107586e-013
8.089543737051537e-009	1.097247e-010	9.871201e-011	2.982280e-008	2.858021e-008	9.520590e-013
8.095543737051534e-009	1.145579e-010	1.031600e-010	3.061554e-008	2.935943e-008	9.942181e-013
8.101543737051531e-009	1.194765e-010	1.076982e-010	3.140375e-008	3.013547e-008	1.037236e-012
8.107543737051528e-009	1.244806e-010	1.123265e-010	3.218743e-008	3.090834e-008	1.081112e-012
8.113543737051525e-009	1.295700e-010	1.170451e-010	3.296658e-008	3.167802e-008	1.125848e-012
8.119543737051522e-009	1.347449e-010	1.218539e-010	3.374119e-008	3.244452e-008	1.171441e-012
8.125543737051519e-009	1.400052e-010	1.267528e-010	3.451128e-008	3.320785e-008	1.217894e-012
8.130686594194373e-009	1.445733e-010	1.310169e-010	3.516732e-008	3.385915e-008	1.258333e-012
8.135829451337227e-009	1.491923e-010	1.353374e-010	3.581957e-008	3.450762e-008	1.299319e-012
8.140972308480081e-009	1.538622e-010	1.397144e-010	3.646804e-008	3.515325e-008	1.340849e-012
8.146115165622937e-009	1.585829e-010	1.441480e-010	3.711273e-008	3.579605e-008	1.382926e-012
8.151258022765791e-009	1.633546e-010	1.486381e-010	3.775363e-008	3.643601e-008	1.425548e-012
8.156400879908646e-009	1.681771e-010	1.531846e-010	3.839076e-008	3.707313e-008	1.468716e-012
8.161543737051500e-009	1.730504e-010	1.577877e-010	3.902409e-008	3.770742e-008	1.512429e-012
8.162543737051499e-009	1.740027e-010	1.586882e-010	3.914676e-008	3.783038e-008	1.520984e-012
8.163543737051499e-009	1.749566e-010	1.595907e-010	3.926928e-008	3.795322e-008	1.529556e-012
8.164543737051498e-009	1.759123e-010	1.604951e-010	3.939165e-008	3.807594e-008	1.538147e-012
8.166686594194354e-009	1.779661e-010	1.624399e-010	3.965343e-008	3.833861e-008	1.556625e-012
8.168829451337210e-009	1.800273e-010	1.643933e-010	3.991434e-008	3.860057e-008	1.575186e-012
8.170972308480066e-009	1.820958e-010	1.663552e-010	4.017437e-008	3.886183e-008	1.593831e-012
8.173115165622923e-009	1.841718e-010	1.683257e-010	4.043353e-008	3.912238e-008	1.612560e-012
8.175258022765779e-009	1.862551e-010	1.703048e-010	4.069181e-008	3.938222e-008	1.631374e-012
8.177400879908635e-009	1.883459e-010	1.722925e-010	4.094921e-008	3.964136e-008	1.650271e-012
8.179543737051491e-009	1.904440e-010	1.742887e-010	4.120574e-008	3.989979e-008	1.669252e-012
8.183543737051488e-009	1.943785e-010	1.780363e-010	4.168162e-008	4.037971e-008	1.704894e-012
8.184543737051488e-009	1.953655e-010	1.789772e-010	4.180005e-008	4.049924e-008	1.713843e-012
8.184743885766531e-009	1.955632e-010	1.791658e-010	4.182372e-008	4.052314e-008	1.715637e-012
8.184939292449455e-009	1.957564e-010	1.793500e-010	4.184682e-008	4.054646e-008	1.717389e-012
8.184973960791997e-009	1.957906e-010	1.793827e-010	4.185092e-008	4.055060e-008	1.717701e-012
8.184976343032023e-009	1.957930e-010	1.793849e-010	4.185120e-008	4.055088e-008	1.717722e-012
8.184980529825937e-009	1.957971e-010	1.793889e-010	4.185169e-008	4.055138e-008	1.717758e-012
8.184985779915245e-009	1.958023e-010	1.793938e-010	4.185231e-008	4.055201e-008	1.717806e-012
8.184992873092413e-009	1.958093e-010	1.794005e-010	4.185315e-008	4.055286e-008	1.717870e-012
8.185000768600937e-009	1.958171e-010	1.794079e-010	4.185408e-008	4.055380e-008	1.717940e-012
8.185009349196868e-009	1.958256e-010	1.794160e-010	4.185510e-008	4.055482e-008	1.718017e-012
8.185019143689140e-009	1.958353e-010	1.794253e-010	4.185625e-008	4.055599e-008	1.718105e-012
8.185030610373513e-009	1.958466e-010	1.794361e-010	4.185761e-008	4.055736e-008	1.718208e-012
8.185061329783179e-009	1.958770e-010	1.794651e-010	4.186124e-008	4.056102e-008	1.718483e-012
8.188372003419330e-009	1.991597e-010	1.825977e-010	4.225094e-008	4.095475e-008	1.748289e-012
8.191682677055480e-009	2.024565e-010	1.857478e-010	4.263805e-008	4.134629e-008	1.778268e-012
8.194993350691631e-009	2.057675e-010	1.889152e-010	4.302258e-008	4.173564e-008	1.808420e-012
8.198304024327780e-009	2.090926e-010	1.921000e-010	4.340451e-008	4.212281e-008	1.838746e-012
8.201614697963931e-009	2.124319e-010	1.953021e-010	4.378385e-008	4.250779e-008	1.869245e-012
8.204925371600081e-009	2.157854e-010	1.985217e-010	4.416060e-008	4.289058e-008	1.899917e-012
8.208236045236232e-009	2.191529e-010	2.017585e-010	4.453476e-008	4.327118e-008	1.930763e-012
8.220378902379083e-009	2.316497e-010	2.138037e-010	4.588354e-008	4.464737e-008	2.045592e-012
8.232521759521933e-009	2.442504e-010	2.260020e-010	4.720152e-008	4.599716e-008	2.162067e-012
8.244664616664784e-009	2.569549e-010	2.383534e-010	4.848871e-008	4.732054e-008	2.280187e-012
8.256807473807636e-009	2.697633e-010	2.508579e-010	4.974510e-008	4.861752e-008	2.399953e-012
8.268950330950487e-009	2.826755e-010	2.635155e-010	5.097069e-008	4.988810e-008	2.521363e-012
8.281093188093337e-009	2.956916e-010	2.763262e-010	5.216549e-008	5.113228e-008	2.644420e-012
8.293236045236188e-009	3.088115e-010	2.892901e-010	5.332949e-008	5.235005e-008	2.769121e-012
8.294236045236187e-009	3.098909e-010	2.903589e-010	5.342427e-008	5.244939e-008	2.779418e-012
8.322664616664743e-009	3.409638e-010	3.213098e-010	5.602099e-008	5.519011e-008	3.077828e-012
8.351093188093301e-009	3.718343e-010	3.522920e-010	5.849658e-008	5.782260e-008	3.378504e-012
8.379521759521857e-009	4.025024e-010	3.833054e-010	6.085102e-008	6.034684e-008	3.681446e-012
8.407950330950414e-009	4.329682e-010	4.143501e-010	6.308432e-008	6.276283e-008	3.986654e-012
8.436378902378970e-009	4.632315e-010	4.454260e-010	6.519647e-008	6.507059e-008	4.294127e-012
8.464807473807528e-009	4.932924e-010	4.765332e-010	6.718749e-008	6.727010e-008	4.603867e-012
8.493236045236084e-009	5.231510e-010	5.076717e-010	6.905736e-008	6.936136e-008	4.915872e-012
8.507521759521790e-009	5.378621e-010	5.230785e-010	6.996853e-008	7.038487e-008	5.071430e-012
8.521807473807498e-009	5.524273e-010	5.383757e-010	7.085816e-008	7.138821e-008	5.226582e-012
8.536093188093204e-009	5.668463e-010	5.535633e-010	7.172626e-008	7.237140e-008	5.381328e-012
8.550378902378911e-009	5.811192e-010	5.686412e-010	7.257283e-008	7.333442e-008	5.535668e-012
8.564664616664617e-009	5.952461e-010	5.836095e-010	7.339787e-008	7.427728e-008	5.689603e-012
8.578950330950325e-009	6.092269e-010	5.984681e-010	7.420137e-008	7.519999e-008	5.843132e-012
8.593236045236032e-009	6.230616e-010	6.132171e-010	7.498333e-008	7.610253e-008	5.996255e-012
8.594236045236031e-009	6.240232e-010	6.142434e-010	7.503746e-008	7.616512e-008	6.006942e-012
8.621950330950303e-009	6.503789e-010	6.424768e-010	7.649194e-008	7.785703e-008	6.302403e-012
8.649664616664573e-009	6.760745e-010	6.701158e-010	7.788816e-008	7.949192e-008	6.594704e-012
8.677378902378845e-009	7.011099e-010	6.971603e-010	7.922611e-008	8.106979e-008	6.883843e-012
8.705093188093116e-009	7.254853e-010	7.236104e-010	8.050580e-008	8.259064e-008	7.169822e-012
8.732807473807388e-009	7.492005e-010	7.494661e-010	8.172723e-008	8.405447e-008	7.452639e-012
8.760521759521658e-009	7.722557e-010	7.747273e-010	8.289040e-008	8.546128e-008	7.732296e-012
8.788236045235930e-009	7.946507e-010	7.993941e-010	8.399531e-008	8.681106e-008	8.008792e-012
8.789236045235930e-009	7.954457e-010	8.002707e-010	8.403537e-008	8.685915e-008	8.018685e-012
8.789516719564982e-009	7.956687e-010	8.005165e-010	8.404629e-008	8.687263e-008	8.021460e-012
8.789748920622189e-009	7.958529e-010	8.007200e-010	8.405139e-008	8.688378e-008	8.023755e-012
8.790405751026476e-009	7.963695e-010	8.012979e-010	8.400496e-008	8.691531e-008	8.030241e-012
8.791074237762120e-009	7.968874e-010	8.018889e-010	8.390007e-008	8.694744e-008	8.036823e-012
8.792074237762119e-009	7.976487e-010	8.027775e-010	8.368232e-008	8.699557e-008	8.046634e-012
8.793074237762119e-009	7.983915e-010	8.036721e-010	8.340168e-008	8.704385e-008	8.056395e-012
8.794074237762118e-009	7.991114e-010	8.045743e-010	8.306185e-008	8.709234e-008	8.066094e-012
8.795074237762118e-009	7.998059e-010	8.054848e-010	8.267281e-008	8.714109e-008	8.075724e-012
8.796074237762117e-009	8.004732e-010	8.064041e-010	8.224600e-008	8.719017e-008	8.085278e-012
8.797074237762117e-009	8.011122e-010	8.073323e-010	8.179454e-008	8.723962e-008	8.094753e-012
8.798074237762116e-009	8.017225e-010	8.082696e-010	8.133284e-008	8.728949e-008	8.104146e-012
8.799074237762116e-009	8.023048e-010	8.092153e-010	8.087633e-008	8.733983e-008	8.113458e-012
8.800074237762115e-009	8.028607e-010	8.101687e-010	8.044113e-008	8.739069e-008	8.122693e-012
8.802074237762114e-009	8.039038e-010	8.120943e-010	7.970074e-008	8.749406e-008	8.140951e-012
8.804074237762113e-009	8.048825e-010	8.140340e-010	7.924247e-008	8.759984e-008	8.158997e-012
8.806074237762112e-009	8.058411e-010	8.159710e-010	7.918905e-008	8.770818e-008	8.176945e-012
8.808074237762111e-009	8.068359e-010	8.178844e-010	7.964822e-008	8.781917e-008	8.194946e-012
8.810074237762110e-009	8.079332e-010	8.197504e-010	8.070842e-008	8.793286e-008	8.213178e-012
8.813074237762108e-009	8.099332e-010	8.224031e-010	8.356712e-008	8.810837e-008	8.241407e-012
8.816074237762107e-009	8.125962e-010	8.247977e-010	8.806499e-008	8.828964e-008	8.271357e-012
8.818074237762106e-009	8.148755e-010	8.262042e-010	9.200141e-008	8.841353e-008	8.292663e-012
8.819074237762105e-009	8.161968e-010	8.268403e-010	9.425067e-008	8.847635e-008	8.303806e-012
8.820074237762105e-009	8.176352e-010	8.274334e-010	9.666462e-008	8.853966e-008	8.315266e-012
8.820604486228197e-009	8.184576e-010	8.277261e-010	9.802594e-008	8.857347e-008	8.321505e-012
8.821257146981514e-009	8.195313e-010	8.280638e-010	9.978429e-008	8.861529e-008	8.329350e-012
8.821605307317524e-009	8.201308e-010	8.282344e-010	1.007529e-007	8.863770e-008	8.333609e-012
8.822055536179268e-009	8.209343e-010	8.284450e-010	1.020302e-007	8.866676e-008	8.339194e-012
8.822209860269806e-009	8.212157e-010	8.285150e-010	1.024711e-007	8.867674e-008	8.341126e-012
8.822255377045976e-009	8.212999e-010	8.285353e-010	1.026014e-007	8.867969e-008	8.341699e-012
8.822287738094351e-009	8.213600e-010	8.285496e-010	1.026940e-007	8.868179e-008	8.342107e-012
8.822298926499469e-009	8.213809e-010	8.285546e-010	1.027260e-007	8.868252e-008	8.342249e-012
8.822301995683419e-009	8.213866e-010	8.285559e-010	1.027348e-007	8.868272e-008	8.342289e-012
8.822302209074762e-009	8.213870e-010	8.285560e-010	1.027354e-007	8.868273e-008	8.342291e-012
8.822302420542040e-009	8.213874e-010	8.285561e-010	1.027360e-007	8.868275e-008	8.342293e-012
